2020-12-11 09:28:59.170 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:28:59.299 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:28:59.353 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:28:59.362 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 09:29:57.861 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:29:57.930 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:29:57.937 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:29:57.946 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 09:30:30.211 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:30:30.279 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:30:30.285 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:30:30.295 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 09:32:13.943 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:32:14.010 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:32:14.018 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:32:14.026 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 09:37:35.132 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:37:35.200 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:37:35.207 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:37:35.817 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 09:37:35.829 [INFO ] com.it_cous.handler.OPIdleStateHandler  [close : 91] | UserIdleStateHandler : ChannelClosed - Channel #158694798 : null 
2020-12-11 09:37:58.821 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:37:58.885 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:37:58.892 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:37:58.907 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 09:38:16.212 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:38:16.281 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:38:16.288 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:38:16.303 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 09:38:42.816 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:38:42.883 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:38:42.890 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:38:43.506 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
2020-12-11 09:38:43.517 [INFO ] com.it_cous.handler.OPIdleStateHandler  [close : 91] | UserIdleStateHandler : ChannelClosed - Channel #-202427012 : null 
2020-12-11 09:40:34.986 [INFO ] com.it_cous.service.PISManager          [initMaster : 51] | -----PIS master info loading----- 
2020-12-11 09:40:35.054 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 105] |  >>> Start Create BootStrap... 
2020-12-11 09:40:35.061 [INFO ] c.i.n.n.b.ClientBootstrapFactory        [createBootstrap : 119] |  >>> Done Create BootStrap... 
2020-12-11 09:40:35.677 [INFO ] com.it_cous.service.PISManager          [initMaster : 92] | -----PIS master info loading complete----- 
